straat;geometry;huisnr;karakter;eigenaar;capaciteit;openbaar;ondergrond;bestemming;status;urid;naam;naamid;bezettingsinfo;bronid;betrokkenadressen;timestampbron;geo_point_2d
Adolf Baeyensstraat;"{""coordinates"": [[[3.755131490641538, 51.05305652213149], [3.755157671142146, 51.0530636608334], [3.755143518184875, 51.05308428807301], [3.7551173376842, 51.05307714993897], [3.755131490641538, 51.05305652213149]]], ""type"": ""Polygon""}";186;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst16983;;False;False;17044307_1;Adolf Baeyensstraat 186;2023-06-26T12:12:44Z;51.05307040520888, 3.755137504377375
Adolf Baeyensstraat;"{""coordinates"": [[[3.7527140801945, 51.05547961228235], [3.752690070023614, 51.055469903657134], [3.752709321818476, 51.05545098724706], [3.752733331989363, 51.05546069644094], [3.7527140801945, 51.05547961228235]]], ""type"": ""Polygon""}";88;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst16979;;False;False;17044259_1;Adolf Baeyensstraat 88;2023-06-26T12:12:44Z;51.055465299862725, 3.752711700991272
Adolf Baeyensstraat;"{""coordinates"": [[[3.751904600207145, 51.05633701070174], [3.751928650802236, 51.056346680184916], [3.751909475364193, 51.05636562728432], [3.751885424769104, 51.056355957805096], [3.751904600207145, 51.05633701070174]]], ""type"": ""Polygon""}";49;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Niet-actief;mob/ftsst16978;;False;False;17044258_1;Adolf Baeyensstraat 49;2025-09-22T07:20:20Z;51.05635131899372, 3.751907037785561
Antwerpsesteenweg;"{""coordinates"": [[[3.74416058975709, 51.05863938497186], [3.744144112858129, 51.058654061528635], [3.7441149984598, 51.058641083328766], [3.744131475358695, 51.058626406767914], [3.74416058975709, 51.05863938497186]]], ""type"": ""Polygon""}";138;Gent;Stad Gent;5;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst16987;;False;False;17044326_1;Antwerpsesteenweg 138;2023-06-26T12:12:45Z;51.05864023414897, 3.744137794108129
Bouwmeestersstraat;"{""coordinates"": [[[3.752074194946234, 51.050878104484745], [3.752071163132164, 51.050895981441755], [3.752035710221183, 51.05089359442197], [3.752038742035253, 51.05087571746409], [3.752074194946234, 51.050878104484745]]], ""type"": ""Polygon""}";157;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Rijweg;Actief;mob/ftsst17029;;False;False;17044493_1;Bouwmeestersstraat 157;2025-09-09T07:57:56Z;51.050885849453124, 3.7520549525835674
Brunaustraat;"{""coordinates"": [[[3.746423247430082, 51.054810210395786], [3.746444499773079, 51.054822203208595], [3.74642071507933, 51.05483894650047], [3.746399462736332, 51.05482695312732], [3.746423247430082, 51.054810210395786]]], ""type"": ""Polygon""}";16;Gent;Stad Gent;5;Ja;KWS;Onbekend / Niet op o;Actief;mob/ftsst17030;;False;False;17044496_1;Brunaustraat 16;2024-09-09T09:45:27Z;51.05482457835561, 3.746421981246398
Christine D'haenhof;"{""coordinates"": [[[3.752686252183616, 51.05396045644747], [3.752698756732413, 51.05394429670735], [3.752730806825122, 51.05395414682008], [3.752718302276326, 51.05397030599208], [3.752686252183616, 51.05396045644747]]], ""type"": ""Polygon""}";15;Gent;Stad Gent;5;Ja;Betonstenen;Rijweg;Actief;mob/ftsst17034;;False;False;17044513_1;Christine D'haenhof 15;2023-06-26T12:12:46Z;51.05395730145351, 3.7527085294400577
Elyzeese Velden;"{""coordinates"": [[[3.705060066847883, 51.06124811191433], [3.705155012485238, 51.06115833546089], [3.705182026622419, 51.06116970558883], [3.705097251710735, 51.061249491186985], [3.705086948932758, 51.06125940523716], [3.705060066847883, 51.06124811191433]]], ""type"": ""Polygon""}";7;Parkeervak;Stad Gent;20;Ja;KWS;Parkeerstrook;Actief;mob/ftsst17016;;False;False;17044428_1;Elyzeese Velden 7;2025-09-29T08:55:09Z;51.06120880250308, 3.7051210540349877
Koningin Fabiolalaan;"{""coordinates"": [[[3.700661344786664, 51.03915959243682], [3.700670872318546, 51.03917653739444], [3.700637276225232, 51.03918404708316], [3.700627749591614, 51.03916710212829], [3.700661344786664, 51.03915959243682]]], ""type"": ""Polygon""}";91;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst17019;;False;False;17044432_1;Koningin Fabiolalaan 91;2025-04-08T14:26:02Z;51.039171819787484, 3.7006493107792133
Klinkkouterstraat;"{""coordinates"": [[[3.749173507046049, 51.050597794455406], [3.749145952123015, 51.05059314857452], [3.749155160752994, 51.05057143880235], [3.749182715676028, 51.0505760841207], [3.749173507046049, 51.050597794455406]]], ""type"": ""Polygon""}";50A;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst17086;;False;False;17044735_1;Klinkkouterstraat 50A;2023-06-26T12:12:48Z;51.050584616512225, 3.7491643339488476
