straat;geometry;huisnr;karakter;eigenaar;capaciteit;openbaar;ondergrond;bestemming;status;urid;naam;naamid;bezettingsinfo;bronid;betrokkenadressen;timestampbron;geo_point_2d
Heernisplein;"{""coordinates"": [[[3.748238695906918, 51.05256689106441], [3.748242705088031, 51.052584691136786], [3.748207403992292, 51.05258785112605], [3.748203394811179, 51.05257005105493], [3.748238695906918, 51.05256689106441]]], ""type"": ""Polygon""}";19;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst17072;;False;False;17044687_1;Heernisplein 19;2023-06-26T12:12:47Z;51.052577371095516, 3.748223049949806
Jos Verdegemstraat;"{""coordinates"": [[[3.752040200899273, 51.05509714714799], [3.752050525236847, 51.05508038700978], [3.752083768292235, 51.055088518630726], [3.752073443954661, 51.05510527933065], [3.752040200899273, 51.05509714714799]]], ""type"": ""Polygon""}";24;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst17085;;False;False;17044734_1;Jos Verdegemstraat 24;2023-06-26T12:12:47Z;51.055092833062155, 3.7520619846686563
Nijverheidskaai;"{""coordinates"": [[[3.758636265027592, 51.04782546023181], [3.758625509498677, 51.04784211230575], [3.758592485632181, 51.04783364056528], [3.758603242059426, 51.04781698905306], [3.758636265027592, 51.04782546023181]]], ""type"": ""Polygon""}";5;Gent;Stad Gent;5;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst17117;;False;False;17044867_1;Nijverheidskaai 5;2023-06-26T12:12:48Z;51.04782955059648, 3.75861437557207
Kunstenaarstraat;"{""coordinates"": [[[3.744915962418204, 51.05028939380614], [3.74489423127322, 51.0503010387959], [3.744871133790583, 51.05028391776295], [3.744892865833965, 51.05027227276887], [3.744915962418204, 51.05028939380614]]], ""type"": ""Polygon""}";128;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Rijweg;Niet-actief;mob/ftsst17096;;False;False;17044773_1;Kunstenaarstraat 128;2023-06-26T12:12:48Z;51.05028665576471, 3.7448935482532195
Land van Waaslaan;"{""coordinates"": [[[3.743980289794724, 51.05770786804941], [3.743989128318766, 51.05769077346897], [3.744023033432548, 51.057697733599625], [3.744014194908507, 51.057714828177545], [3.743980289794724, 51.05770786804941]]], ""type"": ""Polygon""}";26;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst17097;;False;False;17044774_1;Land van Waaslaan 26;2024-02-02T11:29:07Z;51.05770280082377, 3.744001661613285
Oscar Colbrandtstraat;"{""coordinates"": [[[3.751942461501412, 51.05429881135723], [3.751929204164448, 51.05431473099057], [3.751897629280536, 51.05430428861968], [3.7519108866175, 51.05428836898279], [3.751942461501412, 51.05429881135723]]], ""type"": ""Polygon""}";16;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst17131;;False;False;17044888_1;Oscar Colbrandtstraat 16;2025-09-29T12:43:14Z;51.05430154998731, 3.7519200453905945
Elfjulistraat;"{""coordinates"": [[[3.721328901596373, 51.02836694599569], [3.721346192368972, 51.028352650808344], [3.721374529724611, 51.02836627818649], [3.721357238952013, 51.02838057336964], [3.721328901596373, 51.02836694599569]]], ""type"": ""Polygon""}";134;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst17186;;False;False;17044984_1;Elfjulistraat 134;2024-11-06T07:04:30Z;51.028366612089705, 3.7213517156602167
Koersenstraat;"{""coordinates"": [[[3.707930839052529, 51.02643419067799], [3.707906120110799, 51.026425233637376], [3.707923870820845, 51.026405747138355], [3.707948589762508, 51.02641470418274], [3.707930839052529, 51.02643419067799]]], ""type"": ""Polygon""}";27;Gent;Stad Gent;5;Ja;Ineengrijpende Betonstenen;Rijweg;Actief;mob/ftsst17193;;False;False;17044998_1;Koersenstraat 27;2023-06-26T12:12:50Z;51.02641996890883, 3.707927354936521
Ganzendries;"{""coordinates"": [[[3.711658375866083, 51.03236849795805], [3.711630001679495, 51.03236672971572], [3.711633503312515, 51.0323443668113], [3.711661876600705, 51.032346135054496], [3.711658375866083, 51.03236849795805]]], ""type"": ""Polygon""}";52;Gent;Stad Gent;5;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst17191;;False;False;17044996_1;Ganzendries 52;2023-06-26T12:12:49Z;51.03235643244295, 3.7116459393495993
Onafhankelijkheidslaan;"{""coordinates"": [[[3.715465217749526, 51.0326403415339], [3.71549266128152, 51.032635467314776], [3.715502327153956, 51.032657097929295], [3.715474882723698, 51.03266197214615], [3.715465217749526, 51.0326403415339]]], ""type"": ""Polygon""}";32;Gent;Stad Gent;5;Ja;Overlaging;Parkeerstrook;Niet-actief;mob/ftsst17212;;False;False;17045313_1;Onafhankelijkheidslaan 32;2025-08-25T11:48:09Z;51.032648719782806, 3.7154837722674214
Maaltebruggestraat;"{""coordinates"": [[[3.712082872058626, 51.030875423216486], [3.712096004529793, 51.03085946445414], [3.712127639600844, 51.030869813244365], [3.712114507129677, 51.0308857714382], [3.712082872058626, 51.030875423216486]]], ""type"": ""Polygon""}";27;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst17206;;False;False;17045011_1;Maaltebruggestraat 27;2023-06-26T12:12:50Z;51.0308726180486, 3.71210525576849
Zieklien;"{""coordinates"": [[[3.710804880226413, 51.03129834593008], [3.71077889286358, 51.031290948517594], [3.710793553369012, 51.031270464672865], [3.710819539833512, 51.03127786208863], [3.710804880226413, 51.03129834593008]]], ""type"": ""Polygon""}";2;Gent;Stad Gent;5;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst17240;;False;False;17045443_1;Zieklien 2;2023-06-26T12:12:52Z;51.03128440534472, 3.71079921651539
Sint-Denijslaan;"{""coordinates"": [[[3.713814284937257, 51.03409138981545], [3.713823124359629, 51.03410848350381], [3.713789239008782, 51.034115451698085], [3.71378039868808, 51.0340983580123], [3.713814284937257, 51.03409138981545]]], ""type"": ""Polygon""}";47;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst17224;;False;False;17045429_1;Sint-Denijslaan 47;2023-06-26T12:12:51Z;51.03410342072882, 3.71380176170356
Sint-Pietersaalststraat;"{""coordinates"": [[[3.713777545638765, 51.03112908250936], [3.713762511434142, 51.03111380516276], [3.713792790947439, 51.0311019525326], [3.713807825152062, 51.031117229883094], [3.713777545638765, 51.03112908250936]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Betontegels;Voetpad;Actief;mob/ftsst17226;;False;False;17045431_1;Sint-Pietersaalststraat 4;2023-06-26T12:12:51Z;51.031115517521656, 3.713785168293451
Valkeniersstraat;"{""coordinates"": [[[3.728176282001797, 51.030171438159826], [3.728199845709994, 51.03018155998963], [3.728179787228005, 51.0302001353156], [3.728156222621478, 51.03019001348984], [3.728176282001797, 51.030171438159826]]], ""type"": ""Polygon""}";23;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst17235;;False;False;17045438_1;Valkeniersstraat 23;2024-05-14T07:29:04Z;51.03018578676675, 3.7281780343188395
Sint-Pietersaalststraat;"{""coordinates"": [[[3.714350779486189, 51.030972466022575], [3.714366722785808, 51.030987371678364], [3.714337178094469, 51.03099993900001], [3.714321233896453, 51.03098503334827], [3.714350779486189, 51.030972466022575]]], ""type"": ""Polygon""}";15;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst17228;;False;False;17045433_1;Sint-Pietersaalststraat 15;2023-06-26T12:12:51Z;51.03098620250448, 3.714343978494905
Emanuel Hielstraat;"{""coordinates"": [[[3.758885640045369, 51.04442683505175], [3.758872911816096, 51.044442924125825], [3.758841008148779, 51.044432896906294], [3.758853735479723, 51.0444168078287], [3.758885640045369, 51.04442683505175]]], ""type"": ""Polygon""}";34;Gent;Stad Gent;5;Ja;Gebakken klinkers;Parkeerstrook;Actief;mob/ftsst17271;;False;False;17045502_1;Emanuel Hielstraat 34;2025-09-23T07:19:19Z;51.044429865959415, 3.758863323933384
Zwijnaardsesteenweg;"{""coordinates"": [[[3.721583079007701, 51.025989502850365], [3.721557898331996, 51.02599793281965], [3.721541186972724, 51.02597808283858], [3.721566367648497, 51.02596965343071], [3.721583079007701, 51.025989502850365]]], ""type"": ""Polygon""}";500;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst17247;;False;False;17045478_1;Zwijnaardsesteenweg 500;2023-06-26T12:12:52Z;51.025983793024544, 3.721562132964317
Emanuel Hielstraat;"{""coordinates"": [[[3.75843940282634, 51.045486155956425], [3.758433499996546, 51.04546856551079], [3.758468377985785, 51.04546391177332], [3.758474280815512, 51.04548150222073], [3.75843940282634, 51.045486155956425]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst17275;;False;False;17045506_1;Emanuel Hielstraat 4;2023-06-26T12:12:53Z;51.04547503386525, 3.7584538904063165
Sint-Bernadettestraat;"{""coordinates"": [[[3.753188311612745, 51.074497199153946], [3.753179488360054, 51.074514297123905], [3.753145562585004, 51.07450735137423], [3.753154385837762, 51.07449025340171], [3.753188311612745, 51.074497199153946]]], ""type"": ""Polygon""}";242B;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Niet-actief;mob/ftsst17287;;False;False;17045517_1;Sint-Bernadettestraat 242B;2023-06-26T12:12:53Z;51.07450227526333, 3.753166937098531
Voetweg;"{""coordinates"": [[[3.725969601049072, 51.04062828191862], [3.725941106488275, 51.04062755554344], [3.725942541996103, 51.04060510003901], [3.725971036556901, 51.04060582641454], [3.725969601049072, 51.04062828191862]]], ""type"": ""Polygon""}";6;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst17305;;False;False;17045533_1;Voetweg 6;2025-07-01T12:05:13Z;51.04061669097891, 3.725956071522551
Voetweg;"{""coordinates"": [[[3.726073511872926, 51.040607656474144], [3.726101976789353, 51.04060875846368], [3.726099795679868, 51.04063118967852], [3.72607132986511, 51.040630088254375], [3.726073511872926, 51.040607656474144]]], ""type"": ""Polygon""}";10;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst17306;;False;False;17045534_1;Voetweg 10;2023-06-26T12:12:54Z;51.0406194232704, 3.726086653483221
August Vermeylenstraat;"{""coordinates"": [[[3.718392855108302, 51.02066002199871], [3.718421325414578, 51.020659138784346], [3.718423078925979, 51.020681585307464], [3.718394608619703, 51.0206824679563], [3.718392855108302, 51.02066002199871]]], ""type"": ""Polygon""}";173;Gent;Stad Gent;5;Ja;Ineengrijpende Betonstenen;Parkeerstrook;Actief;mob/ftsst17336;;False;False;17045580_1;August Vermeylenstraat 173;2024-02-02T11:28:21Z;51.02067080350695, 3.718407967076545
De Pintelaan;"{""coordinates"": [[[3.728449663597274, 51.02976899645978], [3.72846545328499, 51.02975402713603], [3.728495130028768, 51.02976647106471], [3.728479339442655, 51.02978144094938], [3.728449663597274, 51.02976899645978]]], ""type"": ""Polygon""}";21;Gent;Stad Gent;5;Ja;Halfharde verharding;Parkeerstrook;Actief;mob/ftsst17337;;False;False;17045581_1;De Pintelaan 21;2023-06-26T12:12:54Z;51.02976773393857, 3.7284723967052495
August Kekuléstraat;"{""coordinates"": [[[3.719981579587173, 51.02133612301845], [3.719979737142526, 51.021324448709656], [3.720012313648001, 51.021323429891595], [3.720015050814625, 51.021334157711486], [3.719981579587173, 51.02133612301845]]], ""type"": ""Polygon""}";3;Gent;Stad Gent;5;Ja;Ineengrijpende Betonstenen;Parkeerstrook;Actief;mob/ftsst17335;;False;False;17045579_1;August Kekuléstraat 3;2023-06-26T12:12:53Z;51.02132958027546, 3.7199969559548203
De Pintelaan;"{""coordinates"": [[[3.724959202966971, 51.0279602031981], [3.724959198475386, 51.027942224731305], [3.724994835541038, 51.02794221964641], [3.724994840032624, 51.027960198113206], [3.724959202966971, 51.0279602031981]]], ""type"": ""Polygon""}";135A;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst17346;;False;False;17045590_1;De Pintelaan 135A;2023-06-26T12:12:54Z;51.02795121142225, 3.7249770192540046
Harelbekestraat;"{""coordinates"": [[[3.731502581802121, 51.02818217038728], [3.7314747960121, 51.028186195902876], [3.731466814480756, 51.02816429313887], [3.731494600270844, 51.02816026762137], [3.731502581802121, 51.02818217038728]]], ""type"": ""Polygon""}";24;Gent;Stad Gent;5;Ja;Overlaging;Rijweg;Actief;mob/ftsst17356;;False;False;17045600_1;Harelbekestraat 24;2024-02-02T11:30:23Z;51.02817323176253, 3.731484698141629
Rerum-Novarumplein;"{""coordinates"": [[[3.719624852299594, 51.02323243249039], [3.7196532103165, 51.02323059609411], [3.719656854781591, 51.02325295209517], [3.719628495866422, 51.02325478849056], [3.719624852299594, 51.02323243249039]]], ""type"": ""Polygon""}";6;Gent;Stad Gent;5;Ja;Betontegels;Voetpad;Actief;mob/ftsst17379;;False;False;17045623_1;Rerum-Novarumplein 6;2024-02-27T09:59:12Z;51.02324269235054, 3.7196408533317205
Ter Platen;"{""coordinates"": [[[3.730325690863575, 51.037893756811286], [3.730350892200546, 51.03790216879921], [3.730343660762512, 51.03791062032627], [3.73033421677396, 51.03792203118452], [3.730309014538657, 51.0379136192002], [3.730325690863575, 51.037893756811286]]], ""type"": ""Polygon""}";57;Gent;Stad Gent;5;Ja;KWS;Rijweg;Niet-actief;mob/ftsst17405;;False;False;17045648_1;Ter Platen 57;2025-09-18T11:56:16Z;51.037907886196344, 3.730329926142936
Kempstraat;"{""coordinates"": [[[3.692984568744034, 51.06948205798226], [3.69300605375068, 51.0694702264568], [3.693029529423961, 51.06948714621465], [3.693008044417315, 51.06949897830023], [3.692984568744034, 51.06948205798226]]], ""type"": ""Polygon""}";172;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst17445;;False;False;17045685_1;Kempstraat 172;2025-09-26T08:46:19Z;51.0694846022859, 3.6930070490905114
Fabriekstraat;"{""coordinates"": [[[3.712959411281973, 51.08396752489272], [3.712937281284944, 51.083956169393595], [3.712959811930545, 51.08393874535863], [3.712981942825904, 51.083950100297756], [3.712959411281973, 51.08396752489272]]], ""type"": ""Polygon""}";16;Gent;Stad Gent;5;Ja;Overlaging;Rijweg;Actief;mob/ftsst17462;;False;False;17045701_1;Fabriekstraat 16;2024-02-02T11:29:15Z;51.08395313501214, 3.712959611904684
Morekstraat;"{""coordinates"": [[[3.716273786845225, 51.07982277441405], [3.716246089988383, 51.079827118818436], [3.716237466161647, 51.079805312703485], [3.71626516301849, 51.07980096829705], [3.716273786845225, 51.07982277441405]]], ""type"": ""Polygon""}";159;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst17496;;False;False;17045735_1;Morekstraat 159;2023-06-26T12:12:58Z;51.07981404355817, 3.716255626503621
Sloepstraat;"{""coordinates"": [[[3.720440429152851, 51.08808054956587], [3.720425421897674, 51.08809584198174], [3.720395066027624, 51.08808402875738], [3.720410073282733, 51.088068736337654], [3.720440429152851, 51.08808054956587]]], ""type"": ""Polygon""}";12;Gent;Stad Gent;5;Ja;Ineengrijpende Betonstenen;Rijweg;Actief;mob/ftsst17517;;False;False;17045756_1;Sloepstraat 12;2024-05-22T08:27:04Z;51.08808228916037, 3.7204177475898765
Pantserschipstraat;"{""coordinates"": [[[3.727290274535377, 51.09057300891994], [3.727265645425223, 51.09058210082185], [3.727247596474541, 51.090562714654986], [3.727272224686364, 51.090553622749255], [3.727290274535377, 51.09057300891994]]], ""type"": ""Polygon""}";135;Gent;Stad Gent;5;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst17507;;False;False;17045746_1;Pantserschipstraat 135;2023-06-26T12:12:57Z;51.090567861820425, 3.7272689353474737
Sint-Markoenstraat;"{""coordinates"": [[[3.714769793260579, 51.09021374702802], [3.714779900205857, 51.09019693245998], [3.714813275313551, 51.09020488582307], [3.714803168368341, 51.09022170038821], [3.714769793260579, 51.09021374702802]]], ""type"": ""Polygon""}";29;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst17512;;False;False;17045751_1;Sint-Markoenstraat 29;2024-02-02T11:29:17Z;51.090209316424655, 3.7147915342866984
Vroonstalledries;"{""coordinates"": [[[3.71306364909257, 51.089470290260635], [3.713092141856773, 51.08946917532776], [3.713094358000546, 51.089491604883385], [3.713065865236409, 51.08949271981574], [3.71306364909257, 51.089470290260635]]], ""type"": ""Polygon""}";1;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst17519;;False;False;17045758_1;Vroonstalledries 1;2023-06-26T12:12:58Z;51.089480947571865, 3.7130790035466292
Hogekouterstraat;"{""coordinates"": [[[3.698845883733401, 51.07453812466091], [3.698859804925354, 51.07452243041145], [3.698890947719662, 51.07453339143932], [3.698877025629379, 51.07454908568507], [3.698845883733401, 51.07453812466091]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Materiaal Beton;Rijweg;Actief;mob/ftsst17533;;False;False;17045773_1;Hogekouterstraat 4;2024-02-02T11:29:17Z;51.074535758034195, 3.698868415566922
Brugsevaart;"{""coordinates"": [[[3.668209237125558, 51.08299874740225], [3.668190375199571, 51.08298525290621], [3.668217151283187, 51.08297040066055], [3.668236014107573, 51.082983895160915], [3.668209237125558, 51.08299874740225]]], ""type"": ""Polygon""}";146;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Gepland verwijderd;mob/ftsst17543;;False;False;17048337_1;Brugsevaart 146;2024-02-02T11:29:19Z;51.08298457402763, 3.668213194505296
Adriaan Pietersstraat;"{""coordinates"": [[[3.68670933791947, 51.07070141932399], [3.686681767725085, 51.07069678054026], [3.686690968270224, 51.070675067774914], [3.68671853936294, 51.070679706560824], [3.68670933791947, 51.07070141932399]]], ""type"": ""Polygon""}";26;Gent;Stad Gent;5;Ja;Overlaging;Rijweg;Actief;mob/ftsst17534;;False;False;17046144_1;Adriaan Pietersstraat 26;2024-02-02T11:30:18Z;51.07068824349739, 3.6867001533574877
Juliaan Braekeleirsstraat;"{""coordinates"": [[[3.678386507897506, 51.07320559077036], [3.678358341221782, 51.0732027031173], [3.678364067083414, 51.07318052135248], [3.678392233759138, 51.07318340957135], [3.678386507897506, 51.07320559077036]]], ""type"": ""Polygon""}";11;Gent;Stad Gent;5;Ja;Overlaging;Rijweg;Actief;mob/ftsst17568;;False;False;17053679_1;Juliaan Braekeleirsstraat 11;2025-09-24T09:26:11Z;51.07319305618755, 3.6783752874345397
Lijnwaadstraat;"{""coordinates"": [[[3.687938820726354, 51.06889659310581], [3.687927545072853, 51.068913108899956], [3.687894777226262, 51.06890423176013], [3.687906053778028, 51.068887715962816], [3.687938820726354, 51.06889659310581]]], ""type"": ""Polygon""}";49;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst17588;;False;False;17054675_1;Lijnwaadstraat 49;2024-02-02T11:29:21Z;51.06890041245461, 3.6879167991447916
Petrus De Broestraat;"{""coordinates"": [[[3.698607987388268, 51.07394799723672], [3.698634228076082, 51.07395506329321], [3.698620209866043, 51.07397572807337], [3.698593969178297, 51.07396866202002], [3.698607987388268, 51.07394799723672]]], ""type"": ""Polygon""}";35;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst17595;;False;False;17054682_1;Petrus De Broestraat 35;2023-06-26T12:13:00Z;51.073961862655636, 3.698614098626976
Sint-Corneliusstraat;"{""coordinates"": [[[3.678850007143092, 51.07451634878955], [3.678866232513733, 51.074501558168926], [3.67889558137237, 51.07451433381117], [3.67887935600173, 51.07452912442773], [3.678850007143092, 51.07451634878955]]], ""type"": ""Polygon""}";11;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst17604;;False;False;17054691_1;Sint-Corneliusstraat 11;2024-02-02T11:29:22Z;51.07451534129902, 3.6788727942574146
Werkstraat;"{""coordinates"": [[[3.689612726155397, 51.068394208260095], [3.689592347873174, 51.06838162342084], [3.689617312953243, 51.068365573145215], [3.689637691235466, 51.06837815798883], [3.689612726155397, 51.068394208260095]]], ""type"": ""Polygon""}";9;Gent;Stad Gent;5;Ja;Betonstenen;Rijweg;Actief;mob/ftsst17609;;False;False;17054696_1;Werkstraat 9;2024-02-02T11:29:23Z;51.068379890703376, 3.689615019554438
Scharlakenstraat;"{""coordinates"": [[[3.690236550424692, 51.068681531616704], [3.690256765213508, 51.06866884298924], [3.690281942295959, 51.0686847627623], [3.690261726608811, 51.0686974519499], [3.690236550424692, 51.068681531616704]]], ""type"": ""Polygon""}";8;Gent;Stad Gent;5;Ja;Materiaal Beton;Rijweg;Actief;mob/ftsst17603;;False;False;17054690_1;Scharlakenstraat 8;2024-02-02T11:29:22Z;51.06868314738817, 3.6902592462288664
Beekstraat;"{""coordinates"": [[[3.653520576691099, 51.06933521702173], [3.653538552878217, 51.06931580670884], [3.653557036613561, 51.06932260195629], [3.653539061324707, 51.06934201226632], [3.653520576691099, 51.06933521702173]]], ""type"": ""Polygon""}";46F;Nietje - Buitenmaats;Stad Gent;2;Ja;Materiaal Beton;Voetpad;Actief;mob/ftsst17623;;False;False;17054707_1;Beekstraat 46F;2025-08-05T12:01:19Z;51.069328909539514, 3.6535388068030294
Kwaadham;"{""coordinates"": [[[3.729493729637925, 51.054638157035455], [3.729510429319034, 51.05462358140964], [3.729539338901557, 51.05463673747484], [3.729522639220382, 51.05465131309655], [3.729493729637925, 51.054638157035455]]], ""type"": ""Polygon""}";52;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst17648;;False;False;17054736_1;Kwaadham 52;2025-07-01T12:46:26Z;51.054637447253796, 3.729516534269433
Oscar De Gruyterstraat;"{""coordinates"": [[[3.761804331082185, 51.02922519267232], [3.761826213144215, 51.029236718663746], [3.76180336808823, 51.029253967815094], [3.761781486026199, 51.029242441262944], [3.761804331082185, 51.02922519267232]]], ""type"": ""Polygon""}";3;Gent;Stad Gent;5;Ja;Betondallen;Rijweg;Actief;mob/ftsst17662;;False;False;17054749_1;Oscar De Gruyterstraat 3;2024-02-02T11:30:24Z;51.02923958015066, 3.761803849582066
Kikvorsstraat;"{""coordinates"": [[[3.713808095544922, 51.021423231012], [3.7137797114769, 51.02142488213795], [3.713776441609265, 51.021402503782745], [3.713804825677287, 51.021400853786204], [3.713808095544922, 51.021423231012]]], ""type"": ""Polygon""}";1241;Gent;Stad Gent;5;Ja;Andere materialen;Andere;Actief;mob/ftsst19278;;False;False;17073935_1;Kikvorsstraat 1241;2023-06-26T12:13:06Z;51.02141286769735, 3.713792268460292
